recipe_id,name,meal_type,protein,carbs,fat,calories,sodium,fiber,ingredients,instructions,vegetarian,vegan,gluten_free,diabetes_friendly,heart_healthy,low_sodium,diet_type,cooking_difficulty,prep_time
43,Turkey and Vegetable Stuffed Peppers,dinner,25,25,10,290,360,7,"Ground turkey, bell peppers, onions, quinoa, tomato sauce, spices","Cook turkey and quinoa, stuff into peppers, bake",false,false,true,true,true,true,American,Medium,45
44,Beef and Broccoli Stir-fry,dinner,28,20,15,330,680,5,"Lean beef strips, broccoli, garlic, ginger, soy sauce, brown rice","Stir-fry beef and broccoli with aromatics, serve over rice",false,false,true,true,false,false,Asian,Medium,30
45,Vegetable and Bean Paella,dinner,14,40,8,290,340,10,"Brown rice, mixed beans, bell peppers, peas, tomatoes, saffron, paprika","Sauté vegetables, add rice and broth, simmer until rice is cooked",true,true,true,true,true,true,Mediterranean,Hard,50
46,Banana Oatmeal with Walnuts,breakfast,12,42,9,295,65,7,"Rolled oats, banana, walnuts, cinnamon, almond milk, honey","Cook oats with almond milk, add sliced banana, walnuts, and a sprinkle of cinnamon. Drizzle with honey.",true,false,true,true,true,true,American,Easy,10
47,Mushroom and Spinach Frittata,breakfast,18,8,14,230,310,3,"Eggs, mushrooms, spinach, onion, feta cheese, olive oil, herbs","Sauté mushrooms and onions, add spinach until wilted. Pour beaten eggs over, add feta, and cook until set.",true,false,true,true,true,true,Mediterranean,Medium,20
48,Coconut Chia Pudding with Mango,breakfast,10,32,15,310,45,12,"Chia seeds, coconut milk, mango, vanilla extract, maple syrup","Mix chia seeds with coconut milk and vanilla, refrigerate overnight. Top with fresh mango and a drizzle of maple syrup.",true,true,true,true,true,true,Asian,Easy,8
49,Smoked Salmon Bagel with Cream Cheese,breakfast,22,35,12,340,620,2,"Whole grain bagel, smoked salmon, light cream cheese, red onion, capers, dill","Toast bagel, spread with cream cheese, top with salmon, red onion, capers, and fresh dill.",false,false,false,false,false,false,American,Easy,5
50,Vegetable Breakfast Burrito,breakfast,15,38,12,320,450,6,"Whole wheat tortilla, eggs, bell peppers, onions, black beans, avocado, salsa","Scramble eggs with vegetables, wrap in tortilla with beans, avocado, and salsa.",true,false,false,true,true,false,Mexican,Medium,15
51,Peanut Butter Banana Smoothie Bowl,breakfast,15,38,12,320,120,7,"Banana, peanut butter, Greek yogurt, almond milk, honey, granola, berries","Blend banana, peanut butter, yogurt, and milk. Pour into bowl and top with granola and berries.",true,false,false,false,true,true,American,Easy,10
52,Sweet Potato and Black Bean Breakfast Hash,breakfast,14,35,10,290,340,9,"Sweet potato, black beans, bell pepper, onion, garlic, cumin, paprika, eggs, avocado",Sauté diced sweet potato until tender. Add vegetables and beans with spices. Create wells and crack eggs into them. Cook until eggs are set.,true,false,true,true,true,true,Mexican,Medium,25
53,Tofu Scramble with Turmeric,breakfast,16,12,10,220,280,4,"Firm tofu, nutritional yeast, turmeric, garlic powder, onion, bell pepper, spinach, olive oil",Crumble tofu and sauté with vegetables and spices until golden and vegetables are tender.,true,true,true,true,true,true,Asian,Easy,15
54,Almond Flour Pancakes with Berries,breakfast,12,18,14,260,180,6,"Almond flour, eggs, almond milk, baking powder, vanilla extract, mixed berries, maple syrup","Mix dry and wet ingredients separately, then combine. Cook pancakes on a griddle and serve with berries and a drizzle of maple syrup.",true,false,true,true,true,true,American,Medium,20
55,Mediterranean Breakfast Bowl,breakfast,18,25,15,310,350,5,"Greek yogurt, cucumber, tomatoes, olives, feta cheese, olive oil, za'atar spice, whole grain pita","Layer yogurt in a bowl, top with chopped vegetables, olives, and feta. Drizzle with olive oil and sprinkle with za'atar. Serve with pita on the side.",true,false,false,true,true,false,Mediterranean,Easy,10
56,Protein-Packed Green Smoothie,breakfast,20,25,8,250,120,6,"Spinach, banana, protein powder, almond butter, chia seeds, almond milk, ice",Blend all ingredients until smooth and creamy.,true,true,true,true,true,true,American,Easy,5
57,Savory Miso Oatmeal with Egg,breakfast,15,30,10,270,420,5,"Steel-cut oats, miso paste, scallions, soft-boiled egg, sesame seeds, soy sauce, ginger","Cook oats according to package directions. Stir in miso paste. Top with soft-boiled egg, scallions, and sesame seeds.",true,false,true,true,true,false,Asian,Medium,20
58,Quinoa Breakfast Bowl with Roasted Vegetables,breakfast,14,35,12,300,250,8,"Quinoa, sweet potato, bell pepper, onion, olive oil, poached egg, avocado, herbs",Roast vegetables. Cook quinoa. Combine and top with poached egg and sliced avocado.,true,false,true,true,true,true,Mediterranean,Medium,30
59,Buckwheat Crepes with Berries,breakfast,10,30,8,240,150,6,"Buckwheat flour, egg, milk, butter, mixed berries, honey, Greek yogurt","Mix batter and let rest. Cook thin crepes in a hot pan. Fill with berries and yogurt, drizzle with honey.",true,false,true,true,true,true,European,Medium,25
60,Shakshuka with Feta,breakfast,16,15,14,250,480,5,"Eggs, tomatoes, bell peppers, onion, garlic, cumin, paprika, feta cheese, parsley, olive oil",Sauté vegetables with spices. Create wells in the sauce and crack eggs into them. Cover and cook until eggs are set. Top with feta and parsley.,true,false,true,true,true,false,Mediterranean,Medium,25
61,Quinoa Tabbouleh Salad,lunch,14,42,10,310,280,8,"Quinoa, parsley, mint, tomatoes, cucumber, lemon juice, olive oil, green onions","Cook quinoa and cool. Mix with chopped herbs, vegetables, lemon juice, and olive oil.",true,true,true,true,true,true,Mediterranean,Easy,25
62,Lentil and Vegetable Soup,lunch,18,40,5,280,350,15,"Green lentils, carrots, celery, onion, garlic, vegetable broth, tomatoes, spinach, herbs","Sauté vegetables, add lentils, broth, and tomatoes. Simmer until lentils are tender. Add spinach at the end.",true,true,true,true,true,true,Mediterranean,Medium,40
63,Grilled Chicken Caesar Wrap,lunch,28,32,14,370,580,4,"Grilled chicken breast, whole wheat wrap, romaine lettuce, parmesan cheese, Caesar dressing","Grill chicken, slice thinly. Toss lettuce with dressing and cheese, wrap with chicken in tortilla.",false,false,false,true,false,false,American,Easy,15
64,Chickpea and Vegetable Buddha Bowl,lunch,15,45,12,350,300,12,"Chickpeas, quinoa, roasted sweet potatoes, kale, avocado, tahini dressing","Arrange cooked quinoa, roasted sweet potatoes, chickpeas, and kale in a bowl. Top with avocado and drizzle with tahini dressing.",true,true,true,true,true,true,Mediterranean,Medium,35
65,Turkey and Avocado Lettuce Wraps,lunch,25,12,15,280,420,6,"Turkey breast, avocado, lettuce leaves, tomato, cucumber, red onion, mustard","Layer turkey, vegetables, and avocado on large lettuce leaves. Roll up and secure with toothpicks if needed.",false,false,true,true,true,false,American,Easy,10
66,Miso Soup with Tofu and Vegetables,lunch,14,20,8,210,650,5,"Miso paste, tofu, seaweed, green onions, mushrooms, carrots, dashi stock",Simmer vegetables in dashi stock. Add tofu. Remove from heat and stir in miso paste. Garnish with green onions.,true,true,true,true,false,false,Asian,Easy,20
67,Mediterranean Tuna Salad,lunch,25,18,12,280,390,5,"Canned tuna, mixed greens, cherry tomatoes, cucumber, red onion, olives, olive oil, lemon juice","Arrange greens on a plate. Top with tuna, vegetables, and olives. Drizzle with olive oil and lemon juice.",false,false,true,true,true,false,Mediterranean,Easy,15
68,Black Bean and Sweet Potato Quesadilla,lunch,15,45,12,350,420,10,"Black beans, sweet potato, whole wheat tortillas, cheese, avocado, salsa, cumin, chili powder",Mash black beans with spices. Layer with roasted sweet potato and cheese between tortillas. Cook until crispy and cheese is melted.,true,false,false,true,true,false,Mexican,Medium,30
69,Falafel Pita with Tahini Sauce,lunch,16,48,14,380,450,9,"Chickpeas, parsley, cilantro, onion, garlic, cumin, coriander, whole wheat pita, lettuce, tomato, tahini, lemon juice","Process chickpeas with herbs, spices, and aromatics. Form into balls and bake until crispy. Stuff into pita with vegetables and drizzle with tahini sauce.",true,true,false,true,true,false,Middle Eastern,Medium,40
70,Salmon Nicoise Salad,lunch,28,22,16,340,380,5,"Salmon fillet, mixed greens, green beans, cherry tomatoes, olives, boiled eggs, potatoes, Dijon mustard, olive oil, lemon juice","Grill salmon. Arrange greens on a plate. Top with salmon, vegetables, eggs, and potatoes. Whisk mustard, oil, and lemon juice for dressing.",false,false,true,true,true,false,Mediterranean,Medium,30
71,Edamame and Brown Rice Bowl,lunch,18,45,10,340,320,8,"Brown rice, edamame, carrots, cucumber, avocado, nori sheets, sesame seeds, soy sauce, rice vinegar, ginger","Arrange rice in bowl. Top with edamame, vegetables, and avocado. Sprinkle with sesame seeds and crumbled nori. Drizzle with sauce.",true,true,true,true,true,true,Asian,Easy,20
72,White Bean and Kale Soup,lunch,16,35,8,280,390,10,"White beans, kale, carrots, celery, onion, garlic, vegetable broth, rosemary, thyme, olive oil","Sauté vegetables until soft. Add beans, broth, and herbs. Simmer until flavors meld. Add kale at the end and cook until wilted.",true,true,true,true,true,false,Mediterranean,Easy,35
73,Chicken and Hummus Wrap,lunch,26,35,12,350,480,7,"Grilled chicken breast, whole wheat wrap, hummus, cucumber, tomato, red onion, mixed greens, lemon juice",Spread hummus on wrap. Layer with chicken and vegetables. Roll up tightly and cut in half.,false,false,false,true,true,false,Mediterranean,Easy,15
74,Egg and Vegetable Fried Rice,lunch,14,40,10,310,520,6,"Brown rice, eggs, carrots, peas, bell pepper, onion, garlic, ginger, soy sauce, sesame oil","Scramble eggs. Set aside. Stir-fry vegetables. Add cooked rice, eggs, and seasonings. Cook until heated through.",true,false,true,true,true,false,Asian,Medium,25
75,Roasted Vegetable and Goat Cheese Sandwich,lunch,14,38,12,320,410,7,"Whole grain bread, zucchini, bell peppers, eggplant, red onion, goat cheese, balsamic glaze, olive oil, herbs",Roast vegetables with olive oil and herbs. Layer on bread with goat cheese. Drizzle with balsamic glaze.,true,false,false,true,true,false,Mediterranean,Medium,30
76,Vegetable and Tofu Stir-Fry,dinner,18,35,12,320,450,8,"Firm tofu, broccoli, bell peppers, carrots, snap peas, garlic, ginger, soy sauce, brown rice",Press and cube tofu. Stir-fry vegetables with garlic and ginger. Add tofu and sauce. Serve over brown rice.,true,true,false,true,true,false,Asian,Medium,30
77,Baked Herb Crusted Salmon,dinner,32,8,16,310,320,2,"Salmon fillet, fresh herbs, lemon, olive oil, garlic, breadcrumbs","Mix herbs, garlic, and breadcrumbs. Coat salmon with olive oil, press herb mixture on top. Bake until flaky.",false,false,false,true,true,true,Mediterranean,Medium,25
78,Chickpea and Vegetable Curry,dinner,15,45,10,330,380,12,"Chickpeas, cauliflower, spinach, tomatoes, onion, garlic, curry powder, coconut milk, brown rice","Sauté onion and garlic, add spices, vegetables, chickpeas, and coconut milk. Simmer until vegetables are tender. Serve over rice.",true,true,true,true,true,true,Indian,Medium,35
79,Turkey Meatballs with Zucchini Noodles,dinner,28,15,14,300,420,5,"Ground turkey, egg, almond flour, Italian herbs, garlic, zucchini, tomato sauce, parmesan cheese","Mix turkey with egg, almond flour, and seasonings. Form into balls and bake. Spiralize zucchini and sauté briefly. Top with meatballs and sauce.",false,false,true,true,true,false,Italian,Medium,40
80,Lentil and Mushroom Shepherd's Pie,dinner,18,45,8,330,390,14,"Green lentils, mushrooms, carrots, peas, onion, garlic, vegetable broth, cauliflower, potatoes, olive oil, herbs",Cook lentils. Sauté vegetables and combine with lentils and broth. Top with mashed cauliflower and potato. Bake until golden.,true,true,true,true,true,false,European,Medium,50
81,Grilled Fish Tacos with Avocado Salsa,dinner,25,30,14,350,410,7,"White fish fillets, corn tortillas, cabbage, lime, avocado, tomato, cilantro, onion, jalapeño, cumin, chili powder","Season and grill fish. Make salsa with avocado, tomato, onion, jalapeño, and cilantro. Serve fish in tortillas with cabbage and salsa.",false,false,true,true,true,false,Mexican,Medium,30
82,Eggplant and Chickpea Stew,dinner,14,42,10,310,360,12,"Eggplant, chickpeas, tomatoes, onion, garlic, cumin, paprika, cinnamon, parsley, olive oil, lemon","Sauté eggplant, onion, and garlic. Add spices, tomatoes, and chickpeas. Simmer until eggplant is tender. Garnish with parsley and lemon.",true,true,true,true,true,true,Mediterranean,Easy,35
83,Chicken and Vegetable Stir-Fry,dinner,28,25,10,310,480,6,"Chicken breast, broccoli, bell peppers, carrots, snow peas, garlic, ginger, soy sauce, sesame oil, brown rice",Stir-fry chicken until cooked. Remove from pan. Stir-fry vegetables with garlic and ginger. Return chicken to pan with sauce. Serve over rice.,false,false,true,true,true,false,Asian,Medium,30
84,Stuffed Bell Peppers with Quinoa,dinner,16,35,10,290,340,8,"Bell peppers, quinoa, black beans, corn, tomatoes, onion, garlic, cumin, chili powder, cheese","Cook quinoa. Mix with beans, corn, tomatoes, and seasonings. Stuff into peppers. Top with cheese and bake until peppers are tender.",true,false,true,true,true,true,Mexican,Medium,45
85,Baked Cod with Lemon and Herbs,dinner,30,10,8,240,320,3,"Cod fillets, lemon, garlic, parsley, thyme, olive oil, cherry tomatoes, asparagus","Place cod on a baking sheet with vegetables. Drizzle with olive oil, lemon juice, and herbs. Bake until fish flakes easily.",false,false,true,true,true,true,Mediterranean,Easy,25
86,Portobello Mushroom Burgers,dinner,12,35,14,310,380,8,"Portobello mushrooms, whole grain buns, arugula, tomato, red onion, avocado, goat cheese, balsamic glaze","Marinate and grill mushrooms. Assemble burgers with vegetables, avocado, and cheese. Drizzle with balsamic glaze.",true,false,false,true,true,false,American,Easy,20
87,Shrimp and Vegetable Skewers,dinner,25,20,10,280,420,5,"Shrimp, bell peppers, zucchini, red onion, cherry tomatoes, olive oil, lemon, garlic, herbs","Thread shrimp and vegetables onto skewers. Brush with olive oil, lemon, and herbs. Grill until shrimp are pink and vegetables are tender.",false,false,true,true,true,false,Mediterranean,Medium,30
88,Vegetable Paella,dinner,12,45,10,320,350,8,"Arborio rice, bell peppers, artichoke hearts, peas, tomatoes, onion, garlic, saffron, vegetable broth, paprika","Sauté vegetables. Add rice, saffron, and paprika. Pour in broth and simmer until rice is tender and liquid is absorbed.",true,true,true,true,true,true,Mediterranean,Medium,45
89,Beef and Broccoli Stir-Fry,dinner,28,20,15,330,550,5,"Lean beef strips, broccoli, garlic, ginger, soy sauce, sesame oil, brown rice",Stir-fry beef until browned. Remove from pan. Stir-fry broccoli with garlic and ginger. Return beef to pan with sauce. Serve over rice.,false,false,true,true,false,false,Asian,Medium,25
90,Cauliflower and Chickpea Curry,dinner,14,40,12,320,360,10,"Cauliflower, chickpeas, tomatoes, onion, garlic, ginger, curry powder, turmeric, coconut milk, brown rice","Sauté onion, garlic, and ginger. Add spices, cauliflower, chickpeas, tomatoes, and coconut milk. Simmer until cauliflower is tender. Serve over rice.",true,true,true,true,true,true,Indian,Medium,35
91,Spaghetti Squash with Turkey Meatballs,dinner,26,25,12,310,390,6,"Spaghetti squash, ground turkey, egg, almond flour, Italian herbs, garlic, tomato sauce, parmesan cheese","Roast spaghetti squash. Mix turkey with egg, almond flour, and seasonings. Form into balls and bake. Serve meatballs and sauce over squash strands.",false,false,true,true,true,false,Italian,Medium,45
92,Baked Falafel Bowl,dinner,16,40,12,330,370,11,"Chickpeas, parsley, cilantro, onion, garlic, cumin, coriander, quinoa, cucumber, tomato, tahini, lemon juice","Process chickpeas with herbs, spices, and aromatics. Form into balls and bake until crispy. Serve over quinoa with vegetables and tahini sauce.",true,true,true,true,true,false,Middle Eastern,Medium,40
93,Grilled Steak with Chimichurri,dinner,32,5,16,290,360,1,"Lean steak, parsley, cilantro, garlic, red wine vinegar, olive oil, red pepper flakes, roasted vegetables","Grill steak to desired doneness. Blend herbs, garlic, vinegar, and oil for chimichurri. Serve sliced steak with sauce and roasted vegetables.",false,false,true,true,false,false,South American,Medium,30
94,Baked Eggplant Parmesan,dinner,18,30,14,320,480,8,"Eggplant, eggs, almond flour, parmesan cheese, mozzarella cheese, tomato sauce, basil, garlic","Slice eggplant, dip in egg and almond flour. Bake until crispy. Layer with sauce and cheese. Bake until cheese is melted and bubbly.",true,false,true,true,false,false,Italian,Medium,45
95,Teriyaki Salmon with Broccoli,dinner,30,20,14,330,520,4,"Salmon fillet, broccoli, garlic, ginger, soy sauce, honey, sesame oil, sesame seeds, brown rice",Marinate salmon in teriyaki sauce. Bake or grill until flaky. Steam broccoli. Serve salmon over rice with broccoli and extra sauce.,false,false,true,true,true,false,Asian,Easy,25
96,Vegetable and Bean Enchiladas,dinner,16,45,10,340,460,12,"Black beans, bell peppers, zucchini, onion, corn, enchilada sauce, corn tortillas, cheese, cilantro",Sauté vegetables. Mix with beans. Roll in tortillas. Top with sauce and cheese. Bake until heated through and cheese is melted.,true,false,true,true,true,false,Mexican,Medium,40
97,Mediterranean Baked Fish,dinner,28,15,10,270,340,4,"White fish fillets, cherry tomatoes, olives, capers, garlic, lemon, olive oil, herbs, quinoa","Place fish in baking dish. Top with tomatoes, olives, capers, and seasonings. Bake until fish flakes easily. Serve with quinoa.",false,false,true,true,true,true,Mediterranean,Easy,30
98,Mushroom and Spinach Risotto,dinner,12,45,10,320,380,4,"Arborio rice, mushrooms, spinach, onion, garlic, vegetable broth, white wine, parmesan cheese, olive oil","Sauté mushrooms and onion. Add rice and wine. Gradually add broth, stirring constantly. Fold in spinach and cheese at the end.",true,false,true,false,true,false,Italian,Medium,40
99,Slow Cooker Chicken and Vegetable Stew,dinner,26,25,8,280,360,6,"Chicken thighs, carrots, celery, onion, potatoes, garlic, chicken broth, herbs, bay leaf",Place all ingredients in slow cooker. Cook on low for 6-8 hours until chicken is tender and vegetables are cooked through.,false,false,true,true,true,false,American,Easy,15
100,Quinoa Stuffed Acorn Squash,dinner,14,40,10,310,280,9,"Acorn squash, quinoa, cranberries, pecans, onion, garlic, vegetable broth, thyme, sage, olive oil",Halve and roast acorn squash. Cook quinoa in broth with herbs. Mix with cranberries and pecans. Stuff mixture into roasted squash halves.,true,true,true,true,true,true,American,Medium,45
