id,name,instructions,prep_time,cook_time,complexity,cuisine_type,meal_type,calories,protein,carbs,fats,is_vegetarian,is_vegan,is_gluten_free,is_dairy_free,diabetes_friendly,hypertension_friendly,heart_healthy,low_fodmap,renal_friendly,glycemic_impact,dash_diet_score,anti_inflammatory_score,omega3_content,fiber_content,prep_difficulty,equipment_required,batch_cook_friendly,meal_prep_time,cost_rating,ingredient_accessibility,flavor_profile,texture_profile,optimal_serving_times,seasonality,satiety_index,palatability_score,keto_compatible,paleo_compatible,vegan_compatible,energy_density,meal_completeness,estimated_cost,serving_temperature
11,Recipe_11_Indian_lunch,Instructions for recipe 11,86,74,Advanced,Indian,lunch,1720.4,98.9,132.1,107.9,0,0,0,0,1,1,0,1,0,74.8,7.2,7.1,1.3,13.5,Intermediate,Specialized,0,107,$$,Specialty,Bitter,Chewy,Anytime,Fall,1.9,4.7,0,1,1,Medium,Snack,14.82,Room Temp
12,Recipe_12_Mediterranean_snack,Instructions for recipe 12,18,48,Intermediate,Mediterranean,snack,1081.6,74.0,67.8,53.3,0,0,0,0,0,0,0,1,0,35.2,5.0,4.1,2.6,14.6,Advanced,Specialized,1,111,$$$,Specialty,Bitter,Crunchy,Morning,Spring,7.9,5.9,0,1,1,Low,Complete Meal,5.85,Hot
13,Recipe_13_Indian_dinner,Instructions for recipe 13,39,37,Intermediate,Indian,dinner,303.7,7.4,65.3,8.5,0,0,0,0,1,1,0,1,0,91.8,3.4,0.7,1.4,1.7,Beginner,Basic,0,24,$,Rare,Spicy,Soft,Anytime,Spring,4.3,1.0,1,1,1,Medium,Complete Meal,8.9,Cold
14,Recipe_14_Mediterranean_lunch,Instructions for recipe 14,20,42,Intermediate,Mediterranean,lunch,642.5,31.1,133.2,18.9,0,0,0,0,0,0,1,0,1,11.4,10.0,3.5,2.9,7.8,Intermediate,Basic,1,69,$,Rare,Umami,Crispy,Evening,Spring,2.5,9.0,0,0,1,Low,Complete Meal,8.27,Hot
15,Recipe_15_Western_lunch,Instructions for recipe 15,38,88,Advanced,Western,lunch,868.9,34.0,103.2,47.6,0,0,0,0,1,0,1,0,0,98.0,1.3,1.9,1.1,12.7,Intermediate,Basic,0,85,$,Specialty,Savory,Crunchy,Anytime,Summer,6.6,8.7,1,0,1,Low,Side Dish,17.43,Cold
16,Recipe_16_Mexican_breakfast,Instructions for recipe 16,9,25,Basic,Mexican,breakfast,340.6,16.5,25.1,20.3,0,0,0,0,1,0,1,1,1,96.1,7.4,8.1,4.6,6.6,Beginner,Basic,1,90,$$$,Common,Sweet,Crispy,Evening,Fall,4.9,2.3,0,0,0,High,Side Dish,3.43,Hot
17,Recipe_17_Mexican_dinner,Instructions for recipe 17,29,25,Intermediate,Mexican,dinner,934.4,79.2,39.1,42.9,0,0,0,1,1,1,0,1,1,48.2,6.9,3.9,0.1,14.1,Advanced,Professional,1,41,$$$,Rare,Savory,Soft,Anytime,All Season,2.6,4.3,0,1,1,Low,Side Dish,7.73,Room Temp
18,Recipe_18_Mediterranean_dinner,Instructions for recipe 18,8,24,Basic,Mediterranean,dinner,261.6,8.6,26.3,28.2,0,0,0,0,1,1,1,0,0,39.2,3.3,4.7,2.8,12.6,Intermediate,Basic,1,82,$$,Specialty,Umami,Crispy,Afternoon,Summer,5.5,3.4,0,0,1,Low,Side Dish,10.02,Cold
19,Recipe_19_Mexican_breakfast,Instructions for recipe 19,18,21,Basic,Mexican,breakfast,391.2,20.2,37.4,20.0,0,0,1,0,0,1,1,1,1,74.7,1.8,8.7,3.7,0.8,Beginner,Basic,1,66,$$$,Rare,Savory,Crispy,Morning,Summer,3.7,6.0,1,0,0,Medium,Complete Meal,7.56,Hot
20,Recipe_20_Indian_snack,Instructions for recipe 20,7,16,Basic,Indian,snack,952.2,59.4,64.1,61.1,1,0,0,0,0,0,0,1,0,25.2,5.2,1.4,2.3,7.5,Intermediate,Professional,0,55,$$,Specialty,Spicy,Chewy,Anytime,Fall,9.4,2.7,1,0,1,Medium,Side Dish,19.2,Room Temp
21,Recipe_21_Mexican_dinner,Instructions for recipe 21,21,37,Intermediate,Mexican,dinner,720.7,46.9,78.7,48.0,0,0,0,0,0,1,0,0,0,73.9,0.3,5.4,2.9,4.2,Advanced,Professional,1,52,$$,Rare,Savory,Crispy,Afternoon,All Season,3.8,5.0,1,0,1,High,Side Dish,12.73,Cold
22,Recipe_22_Mexican_breakfast,Instructions for recipe 22,19,58,Intermediate,Mexican,breakfast,1447.1,122.9,78.3,86.5,0,0,0,0,0,0,1,1,1,39.4,8.6,1.9,1.7,6.4,Beginner,Basic,0,88,$,Specialty,Umami,Chewy,Afternoon,Spring,2.1,3.4,1,1,1,High,Complete Meal,8.94,Cold
23,Recipe_23_Asian_dinner,Instructions for recipe 23,18,29,Basic,Asian,dinner,203.9,14.0,67.1,2.3,1,1,1,0,1,0,0,1,1,24.4,6.4,9.7,3.7,10.1,Advanced,Specialized,1,23,$,Common,Savory,Soft,Afternoon,Spring,5.5,7.5,0,0,0,Medium,Side Dish,4.67,Hot
24,Recipe_24_Mexican_lunch,Instructions for recipe 24,22,31,Intermediate,Mexican,lunch,585.2,38.9,65.0,25.8,0,0,0,0,1,0,0,1,1,46.3,5.1,9.2,1.8,11.4,Advanced,Professional,1,82,$$,Common,Savory,Crispy,Anytime,Fall,4.5,3.7,0,1,0,Low,Snack,13.51,Hot
25,Recipe_25_Asian_breakfast,Instructions for recipe 25,6,19,Basic,Asian,breakfast,577.2,32.0,69.5,26.6,0,0,0,0,1,1,1,0,0,55.5,6.8,9.6,4.5,11.2,Beginner,Professional,0,70,$$$,Rare,Bitter,Crunchy,Evening,Winter,8.1,6.6,0,1,1,Low,Complete Meal,5.21,Cold
26,Recipe_26_Asian_dinner,Instructions for recipe 26,84,58,Advanced,Asian,dinner,1238.3,57.1,112.7,52.3,1,0,0,0,0,0,0,1,0,93.0,2.0,3.8,1.0,9.2,Beginner,Basic,0,34,$,Common,Savory,Crispy,Evening,Summer,3.5,8.9,0,0,0,High,Snack,19.94,Hot
27,Recipe_27_Western_snack,Instructions for recipe 27,61,68,Advanced,Western,snack,1516.0,62.4,137.8,89.2,1,0,0,0,0,1,0,1,1,76.4,5.6,7.8,2.3,7.5,Advanced,Basic,0,15,$,Rare,Spicy,Crispy,Afternoon,Winter,6.0,2.3,0,0,1,Medium,Snack,7.72,Hot
28,Recipe_28_Indian_lunch,Instructions for recipe 28,32,57,Intermediate,Indian,lunch,322.8,20.8,78.1,12.3,1,0,0,0,1,0,1,0,1,16.0,7.9,2.3,2.4,11.7,Beginner,Specialized,1,12,$$,Common,Sweet,Soft,Morning,All Season,7.9,2.9,1,0,1,Medium,Snack,16.05,Hot
29,Recipe_29_Indian_breakfast,Instructions for recipe 29,79,106,Advanced,Indian,breakfast,819.8,32.4,103.7,36.9,1,0,0,0,1,1,1,0,0,15.4,9.8,0.2,4.0,1.1,Intermediate,Specialized,0,65,$$,Common,Spicy,Soft,Anytime,Spring,1.1,7.5,0,1,1,Medium,Snack,15.66,Cold
30,Recipe_30_Asian_dinner,Instructions for recipe 30,52,95,Advanced,Asian,dinner,806.1,26.1,55.2,59.1,0,0,0,0,1,0,0,0,0,82.8,8.8,8.3,3.5,7.4,Beginner,Professional,1,16,$,Specialty,Savory,Creamy,Evening,Winter,8.7,5.2,1,1,0,Medium,Snack,18.29,Hot
31,Recipe_31_Western_breakfast,Instructions for recipe 31,52,45,Advanced,Western,breakfast,961.3,37.4,149.4,36.5,0,0,0,0,1,0,0,1,0,79.3,4.4,1.8,0.9,7.2,Beginner,Basic,1,50,$,Rare,Umami,Crunchy,Evening,Winter,4.7,1.3,0,0,1,Medium,Snack,10.42,Hot
32,Recipe_32_Mediterranean_dinner,Instructions for recipe 32,8,25,Basic,Mediterranean,dinner,277.9,10.8,32.7,16.1,1,1,0,0,1,1,0,1,1,75.6,9.9,7.2,2.6,9.5,Beginner,Basic,1,117,$$$,Common,Bitter,Crispy,Afternoon,Winter,7.1,2.6,1,1,0,Medium,Complete Meal,6.95,Cold
33,Recipe_33_Mexican_snack,Instructions for recipe 33,31,21,Intermediate,Mexican,snack,603.2,30.1,87.2,24.7,1,0,0,0,1,0,0,0,0,56.5,4.6,6.4,2.6,11.7,Advanced,Basic,0,84,$$,Specialty,Sweet,Creamy,Morning,Winter,5.6,2.3,0,0,1,Low,Snack,17.51,Room Temp
34,Recipe_34_Indian_dinner,Instructions for recipe 34,79,54,Advanced,Indian,dinner,834.9,33.3,93.2,77.0,1,0,0,0,0,0,0,1,0,30.8,7.4,7.6,0.1,0.8,Beginner,Basic,1,89,$$$,Rare,Umami,Crunchy,Morning,Fall,5.1,8.3,1,1,0,Medium,Complete Meal,14.75,Room Temp
35,Recipe_35_Indian_lunch,Instructions for recipe 35,80,54,Advanced,Indian,lunch,875.4,40.6,72.8,52.3,0,0,1,0,1,0,0,0,0,86.6,8.2,9.2,0.7,0.7,Beginner,Specialized,1,58,$$,Common,Umami,Crunchy,Morning,Spring,3.5,8.7,0,0,0,High,Side Dish,4.34,Hot
36,Recipe_36_Western_breakfast,Instructions for recipe 36,89,89,Advanced,Western,breakfast,1131.9,73.4,79.4,71.6,0,0,1,0,0,1,0,0,0,18.0,0.7,4.7,4.5,12.1,Advanced,Professional,1,24,$$,Specialty,Sweet,Creamy,Evening,Spring,3.6,2.6,0,1,0,High,Snack,8.79,Room Temp
37,Recipe_37_Western_dinner,Instructions for recipe 37,22,40,Intermediate,Western,dinner,621.9,51.6,37.1,31.7,0,0,0,0,0,1,0,0,1,98.9,2.6,8.0,0.2,3.3,Beginner,Basic,0,93,$$,Specialty,Sweet,Crunchy,Afternoon,Spring,6.8,0.5,0,0,1,Low,Snack,3.43,Room Temp
38,Recipe_38_Mexican_lunch,Instructions for recipe 38,7,28,Basic,Mexican,lunch,605.4,29.0,43.9,30.4,0,0,0,1,1,1,1,1,1,25.1,0.7,4.6,3.0,0.8,Intermediate,Professional,0,94,$$,Rare,Bitter,Chewy,Anytime,All Season,2.4,5.0,1,1,1,Low,Complete Meal,2.63,Hot
39,Recipe_39_Asian_breakfast,Instructions for recipe 39,19,23,Intermediate,Asian,breakfast,925.7,40.2,65.4,72.2,0,0,0,0,1,0,0,1,0,59.9,6.7,9.0,0.8,2.5,Intermediate,Basic,0,55,$,Specialty,Bitter,Crunchy,Anytime,Fall,7.1,2.9,0,1,1,High,Complete Meal,10.73,Room Temp
40,Recipe_40_Western_dinner,Instructions for recipe 40,76,74,Advanced,Western,dinner,1017.8,53.5,119.4,67.1,1,0,0,0,1,1,1,0,1,63.7,5.7,1.2,2.2,6.3,Intermediate,Basic,1,51,$$,Rare,Spicy,Crunchy,Evening,All Season,6.4,1.3,0,0,0,Medium,Snack,2.67,Hot
41,Recipe_41_Mediterranean_breakfast,Instructions for recipe 41,7,6,Basic,Mediterranean,breakfast,580.2,25.6,90.6,10.2,0,0,0,0,1,0,0,1,0,26.8,5.0,1.7,1.5,0.4,Intermediate,Basic,0,41,$$,Specialty,Bitter,Soft,Morning,Winter,1.9,1.8,0,1,1,Low,Snack,17.73,Hot
42,Recipe_42_Western_breakfast,Instructions for recipe 42,15,9,Basic,Western,breakfast,667.9,26.6,28.0,52.7,0,0,0,0,0,0,1,1,1,67.8,6.1,3.8,3.7,2.4,Beginner,Basic,0,118,$$$,Specialty,Bitter,Creamy,Anytime,Summer,2.3,5.0,0,0,1,Low,Snack,6.16,Room Temp
43,Recipe_43_Indian_breakfast,Instructions for recipe 43,29,56,Intermediate,Indian,breakfast,1176.9,54.9,119.3,44.7,1,0,0,0,0,0,1,1,1,34.2,9.7,2.6,4.4,11.0,Beginner,Specialized,1,26,$,Rare,Savory,Creamy,Anytime,Fall,0.9,9.3,1,0,1,Medium,Side Dish,12.09,Room Temp
44,Recipe_44_Asian_snack,Instructions for recipe 44,21,29,Intermediate,Asian,snack,1077.5,44.0,77.7,72.2,1,0,0,0,0,0,1,1,1,32.5,8.3,5.2,5.0,10.3,Intermediate,Professional,1,110,$,Rare,Spicy,Chewy,Anytime,All Season,9.0,1.6,0,1,0,Medium,Snack,12.08,Hot
45,Recipe_45_Mediterranean_lunch,Instructions for recipe 45,16,27,Basic,Mediterranean,lunch,919.5,45.8,89.8,52.9,0,0,0,0,0,1,0,1,0,16.5,4.0,6.9,0.9,10.3,Beginner,Basic,1,67,$$$,Specialty,Bitter,Crunchy,Anytime,Spring,7.3,2.3,0,1,0,Medium,Snack,7.59,Hot
46,Recipe_46_Asian_snack,Instructions for recipe 46,9,22,Basic,Asian,snack,886.2,69.7,55.6,50.4,0,0,0,0,0,0,0,1,0,49.1,7.1,1.1,1.8,13.5,Advanced,Specialized,0,10,$,Rare,Spicy,Crunchy,Afternoon,All Season,2.6,6.6,0,0,0,High,Side Dish,13.73,Hot
47,Recipe_47_Western_lunch,Instructions for recipe 47,50,118,Advanced,Western,lunch,1174.2,75.4,54.2,66.6,0,0,0,0,1,0,1,0,1,45.4,8.9,3.6,4.0,12.3,Intermediate,Specialized,1,69,$$,Specialty,Bitter,Creamy,Morning,Fall,9.8,9.9,0,0,1,Medium,Side Dish,8.77,Hot
48,Recipe_48_Mexican_snack,Instructions for recipe 48,6,23,Basic,Mexican,snack,904.9,47.6,37.1,64.0,0,0,0,0,0,1,0,1,1,61.3,3.7,9.1,3.1,7.9,Beginner,Basic,0,118,$,Common,Sweet,Crispy,Anytime,Spring,3.6,2.0,1,1,1,Low,Side Dish,9.38,Hot
49,Recipe_49_Indian_breakfast,Instructions for recipe 49,20,17,Basic,Indian,breakfast,410.0,25.9,15.2,24.5,0,0,0,0,1,1,1,1,0,66.0,5.0,8.2,2.0,13.2,Intermediate,Specialized,0,62,$,Common,Spicy,Creamy,Anytime,Fall,1.1,3.1,0,1,1,High,Complete Meal,12.27,Hot
50,Recipe_50_Asian_breakfast,Instructions for recipe 50,57,69,Advanced,Asian,breakfast,1709.7,70.7,196.0,86.6,0,0,0,0,1,0,0,0,1,61.0,0.4,1.5,3.8,8.0,Intermediate,Specialized,1,38,$,Common,Spicy,Soft,Afternoon,Winter,7.4,4.0,0,0,0,Low,Complete Meal,8.83,Room Temp
51,Recipe_51_Indian_dinner,Instructions for recipe 51,8,24,Basic,Indian,dinner,208.3,7.4,44.8,5.2,0,0,0,0,0,1,1,0,1,26.1,2.1,7.1,2.3,10.8,Advanced,Basic,1,37,$,Common,Bitter,Crispy,Anytime,Winter,7.6,4.7,0,0,0,High,Snack,4.56,Cold
52,Recipe_52_Indian_breakfast,Instructions for recipe 52,31,63,Advanced,Indian,breakfast,858.7,37.6,138.0,33.7,1,0,0,0,0,1,1,0,1,41.9,0.0,4.2,4.4,7.2,Advanced,Specialized,1,10,$$$,Common,Savory,Chewy,Evening,Summer,0.1,6.4,0,0,1,Low,Snack,3.48,Cold
53,Recipe_53_Mexican_breakfast,Instructions for recipe 53,16,25,Intermediate,Mexican,breakfast,326.5,5.5,41.8,15.9,1,1,0,0,0,0,1,0,0,77.2,0.8,6.5,1.7,6.9,Advanced,Specialized,0,22,$$$,Rare,Savory,Soft,Evening,Spring,3.6,4.9,1,0,1,High,Snack,3.16,Room Temp
54,Recipe_54_Indian_lunch,Instructions for recipe 54,18,58,Intermediate,Indian,lunch,538.2,17.6,93.7,21.2,0,0,0,0,0,1,0,0,0,60.5,1.0,5.5,0.2,11.4,Beginner,Professional,1,117,$$,Common,Bitter,Creamy,Anytime,All Season,2.6,6.2,1,1,1,High,Side Dish,10.14,Room Temp
55,Recipe_55_Western_breakfast,Instructions for recipe 55,8,17,Basic,Western,breakfast,328.1,7.2,43.2,13.7,1,0,0,0,1,0,0,0,1,76.7,1.6,1.6,4.1,0.7,Advanced,Specialized,1,118,$,Common,Savory,Crispy,Evening,All Season,5.8,4.2,0,0,0,Medium,Side Dish,19.91,Cold
56,Recipe_56_Mexican_dinner,Instructions for recipe 56,40,30,Intermediate,Mexican,dinner,936.0,37.6,103.2,39.0,0,0,0,0,1,1,0,1,0,94.1,0.9,4.4,4.1,13.7,Advanced,Professional,0,53,$,Rare,Sweet,Chewy,Anytime,Winter,4.0,5.2,0,0,0,Low,Side Dish,4.48,Hot
57,Recipe_57_Mediterranean_breakfast,Instructions for recipe 57,28,33,Intermediate,Mediterranean,breakfast,1081.1,48.7,147.9,30.5,0,0,0,0,0,1,1,0,1,10.9,6.9,5.7,3.7,10.6,Beginner,Professional,1,20,$$,Specialty,Umami,Crispy,Morning,All Season,8.9,1.7,0,1,0,Medium,Side Dish,10.21,Hot
58,Recipe_58_Asian_breakfast,Instructions for recipe 58,71,108,Advanced,Asian,breakfast,865.8,31.6,59.6,54.3,0,0,0,0,0,0,0,1,0,82.6,7.1,9.7,4.4,4.3,Advanced,Professional,1,35,$,Common,Spicy,Crunchy,Evening,Summer,6.2,2.5,1,0,1,Low,Complete Meal,11.01,Cold
59,Recipe_59_Asian_snack,Instructions for recipe 59,47,58,Advanced,Asian,snack,813.2,33.3,86.2,36.6,1,1,0,0,0,1,0,0,0,89.6,8.2,7.0,1.5,6.3,Advanced,Specialized,1,30,$$$,Rare,Bitter,Soft,Anytime,Winter,8.7,5.6,0,0,1,High,Complete Meal,2.96,Hot
60,Recipe_60_Mediterranean_snack,Instructions for recipe 60,15,15,Basic,Mediterranean,snack,357.5,11.2,12.0,25.2,0,0,0,0,0,1,1,0,1,0.1,8.2,1.7,2.9,4.3,Beginner,Specialized,1,95,$,Common,Sweet,Crunchy,Evening,All Season,4.8,7.8,0,0,1,Medium,Side Dish,10.39,Cold
61,Recipe_61_Mexican_snack,Instructions for recipe 61,36,80,Advanced,Mexican,snack,724.0,35.3,51.3,49.3,0,0,0,0,1,0,0,1,1,63.5,9.9,6.0,4.3,11.6,Beginner,Basic,1,50,$$$,Rare,Sweet,Crispy,Morning,All Season,3.9,10.0,0,0,1,High,Side Dish,16.35,Room Temp
62,Recipe_62_Western_breakfast,Instructions for recipe 62,21,33,Intermediate,Western,breakfast,1382.6,61.1,68.1,61.4,0,0,0,0,1,1,0,1,1,97.5,4.6,3.9,1.8,13.0,Advanced,Professional,1,93,$$$,Common,Sweet,Creamy,Afternoon,Spring,0.1,0.1,1,1,0,Low,Complete Meal,6.56,Room Temp
63,Recipe_63_Mexican_breakfast,Instructions for recipe 63,24,29,Intermediate,Mexican,breakfast,567.4,25.6,86.8,21.4,0,0,0,0,0,1,0,0,1,43.2,6.9,8.9,1.1,0.6,Beginner,Basic,0,103,$$,Specialty,Sweet,Soft,Afternoon,All Season,9.1,3.2,0,1,0,Low,Snack,19.41,Cold
64,Recipe_64_Asian_breakfast,Instructions for recipe 64,6,22,Basic,Asian,breakfast,664.3,60.6,42.6,45.7,0,0,0,1,1,0,1,1,1,86.9,2.7,3.4,4.2,12.5,Beginner,Basic,1,102,$$$,Common,Umami,Creamy,Evening,All Season,0.5,7.8,0,0,1,Low,Snack,7.5,Cold
65,Recipe_65_Mediterranean_snack,Instructions for recipe 65,56,55,Advanced,Mediterranean,snack,690.0,23.4,76.0,25.2,0,0,0,0,1,1,1,1,1,88.3,5.6,2.0,4.6,5.7,Advanced,Professional,0,102,$$,Common,Umami,Crunchy,Morning,Fall,8.5,1.5,1,1,0,Low,Snack,11.0,Cold
66,Recipe_66_Mexican_lunch,Instructions for recipe 66,16,25,Basic,Mexican,lunch,469.9,29.6,38.2,26.1,0,0,0,0,0,1,0,1,0,42.2,1.3,7.9,3.9,5.9,Intermediate,Specialized,1,45,$$$,Rare,Umami,Chewy,Afternoon,Spring,2.1,1.6,0,0,1,Low,Snack,8.43,Hot
67,Recipe_67_Western_lunch,Instructions for recipe 67,40,115,Advanced,Western,lunch,503.8,31.7,47.5,21.1,0,0,0,0,0,1,0,1,0,19.9,3.4,3.7,3.8,14.5,Intermediate,Professional,1,40,$$,Common,Spicy,Chewy,Anytime,Spring,7.0,9.5,1,1,0,Medium,Side Dish,15.16,Cold
68,Recipe_68_Mediterranean_lunch,Instructions for recipe 68,59,59,Advanced,Mediterranean,lunch,899.0,55.7,93.4,44.8,0,0,0,0,1,1,0,0,1,61.3,8.6,6.2,1.9,13.6,Beginner,Professional,1,114,$$$,Rare,Savory,Crispy,Evening,Spring,1.4,0.1,0,1,0,Medium,Complete Meal,19.05,Room Temp
69,Recipe_69_Asian_dinner,Instructions for recipe 69,57,91,Advanced,Asian,dinner,829.8,35.5,92.3,60.6,0,0,0,0,1,0,1,1,0,16.8,4.9,6.1,4.6,5.6,Intermediate,Basic,1,29,$$,Rare,Sweet,Soft,Morning,Fall,9.4,6.1,0,1,0,High,Side Dish,4.96,Room Temp
70,Recipe_70_Indian_dinner,Instructions for recipe 70,20,57,Intermediate,Indian,dinner,648.2,29.9,51.2,52.5,0,0,0,0,1,1,1,1,1,28.7,6.3,5.6,2.9,5.8,Beginner,Specialized,0,72,$$,Common,Sweet,Crispy,Anytime,Summer,3.6,6.6,0,1,1,Medium,Snack,8.54,Cold
71,Recipe_71_Indian_lunch,Instructions for recipe 71,10,17,Basic,Indian,lunch,100.1,4.7,42.2,2.2,0,0,0,0,0,0,1,0,1,38.2,0.4,7.8,1.0,3.4,Advanced,Basic,1,56,$$$,Rare,Umami,Chewy,Morning,All Season,5.4,4.6,0,0,0,Medium,Snack,18.8,Hot
72,Recipe_72_Mexican_lunch,Instructions for recipe 72,67,51,Advanced,Mexican,lunch,509.9,24.4,27.2,17.9,0,0,0,0,1,1,1,0,1,79.3,0.6,7.4,4.6,14.6,Intermediate,Specialized,1,45,$,Rare,Spicy,Crunchy,Morning,Summer,9.7,6.0,0,1,1,High,Complete Meal,14.1,Cold
73,Recipe_73_Western_lunch,Instructions for recipe 73,28,27,Intermediate,Western,lunch,906.5,44.8,118.4,48.5,0,0,0,1,1,1,1,1,0,40.5,5.6,6.0,4.2,8.3,Beginner,Basic,1,100,$$,Specialty,Savory,Crunchy,Anytime,All Season,5.6,4.7,0,0,1,Medium,Side Dish,14.42,Room Temp
74,Recipe_74_Indian_snack,Instructions for recipe 74,14,9,Basic,Indian,snack,164.9,11.3,14.5,10.2,0,0,0,1,1,0,0,1,1,68.3,2.6,2.8,2.8,0.4,Advanced,Professional,0,9,$,Common,Savory,Chewy,Morning,Spring,2.6,4.3,1,1,0,Medium,Complete Meal,10.26,Hot
75,Recipe_75_Western_lunch,Instructions for recipe 75,17,12,Basic,Western,lunch,658.9,35.5,74.0,47.9,0,0,0,0,1,0,0,0,0,26.8,8.2,3.6,1.5,13.8,Beginner,Basic,1,79,$$,Common,Spicy,Chewy,Afternoon,Summer,7.2,4.7,1,1,1,Low,Snack,13.56,Cold
76,Recipe_76_Mexican_lunch,Instructions for recipe 76,33,51,Advanced,Mexican,lunch,863.7,44.1,126.9,31.6,1,0,0,0,0,1,0,0,1,72.1,8.3,4.5,4.5,8.4,Advanced,Professional,0,99,$$,Common,Sweet,Crunchy,Evening,Fall,2.8,9.0,1,1,1,High,Snack,18.35,Hot
77,Recipe_77_Mediterranean_breakfast,Instructions for recipe 77,7,28,Basic,Mediterranean,breakfast,673.2,38.2,45.7,30.9,0,0,0,0,1,0,1,0,1,13.7,0.1,4.4,4.5,0.8,Intermediate,Specialized,0,97,$$,Specialty,Umami,Crispy,Afternoon,Fall,2.9,8.6,1,1,1,High,Snack,17.21,Cold
78,Recipe_78_Asian_breakfast,Instructions for recipe 78,14,10,Basic,Asian,breakfast,390.0,18.5,45.1,23.6,0,0,1,0,0,1,1,0,1,10.0,1.7,9.8,4.1,7.0,Beginner,Specialized,1,106,$$,Common,Bitter,Soft,Anytime,Summer,0.3,3.9,1,1,0,High,Snack,5.07,Room Temp
